01:160:126,Chemistry Of Art,"Govindarajoo, Geeta",4.11
01:160:127,Impact Of Chemistry,"Jimenez, Leslie",2.95
01:160:128,Chemistry Of Life,"Boikess, Robert",2.88
01:160:133,Prep For Gen Chem,"Rabeony, Manese",4.17
01:160:134,Intro To Chemistry,"Rabeony, Manese",4.11
01:160:159,Gen Chem For Engrs,"Roychowdhury, Lipika",3.5
01:160:159,Gen Chem For Engrs,"Pramanik, Sanhita",3.38
01:160:159,Gen Chem For Engrs,"Hove, Emmanuel",2.85
01:160:159,Gen Chem For Engrs,"Khurana, Vandana",3.78
01:160:159,Gen Chem For Engrs,"Abeywickrama, Chandima",2.47
01:160:159,Gen Chem For Engrs,"Braunstein, Erik",3.48
01:160:159,Gen Chem For Engrs,"Vargas, Charlie",3.65
01:160:161,General Chemistry,"Sangari, Harpal",3.77
01:160:161,General Chemistry,"Guerra, Francesca",3.33
01:160:161,General Chemistry,"Abeywickrama, Chandima",3.27
01:160:161,General Chemistry,"Sahni, Seema",3.8
01:160:161,General Chemistry,"Pramanik, Sanhita",3.46
01:160:161,General Chemistry,"Dey, Gangotri",3.73
01:160:161,General Chemistry,"Orbe, Paul",4.05
01:160:161,General Chemistry,"Langowski, Bryan",4.08
01:160:161,General Chemistry,"Kornienko, Anna",3.26
01:160:161,General Chemistry,"Porcja, Robert",4.02
01:160:161,General Chemistry,"Drwiega, Thomas",4.02
01:160:161,General Chemistry,"Kimmel, Paul",3.25
01:160:161,General Chemistry,"Khurana, Vandana",3.74
01:160:162,General Chemistry,"Sangari, Harpal",3.71
01:160:162,General Chemistry,"Roychowdhury, Lipika",3.38
01:160:162,General Chemistry,"Hijazi, Hussein",3.8
01:160:162,General Chemistry,"Abeywickrama, Chandima",3.14
01:160:162,General Chemistry,"Fadeeva, Tatiana",3.38
01:160:162,General Chemistry,"Manjikian, Raffi",4.04
01:160:163,Honors General Chem,"York, Darrin",4.05
01:160:163,Honors General Chem,"Sethi, Kiranjot",3.6
01:160:165,Extended General Chm,"Kornienko, Anna",3.24
01:160:165,Extended General Chm,"Shankar, Nirmala",4.19
01:160:171,Intr Experimentation,"Vitarelli, Michael",3.98
01:160:171,Intr Experimentation,"Patel, Shivani",4.02
01:160:171,Intr Experimentation,"Braunstein, Erik",3.37
01:160:171,Intr Experimentation,"Williams, Milton",4.22
01:160:171,Intr Experimentation,"Patra, Leena",3.48
01:160:171,Intr Experimentation,"Meshkati, Aria",4.57
01:160:171,Intr Experimentation,"Chen, Tracy",4.07
01:160:171,Intr Experimentation,"Allen, Rachel",4.04
01:160:171,Intr Experimentation,"Inamdar, Neelay",4.51
01:160:171,Intr Experimentation,"Patel, Riddhi",3.93
01:160:171,Intr Experimentation,"Pecoraro, Matthew",4.18
01:160:191,Topics In Chemistry,"Boikess, Robert",2.13
01:160:209,Element Organic Chem,"Hove, Emmanuel",3.16
01:160:211,Elem Organic Lab,"Pramanik, Sanhita",3.41
01:160:251,Analytical Chemistry,"Kornienko, Anna",3.39
01:160:307,Organic Chemistry,"Sadeghipour, Mitra",3.5
01:160:307,Organic Chemistry,"Sethi, Kiranjot",3.7
01:160:307,Organic Chemistry,"Jimenez, Leslie",3.21
01:160:307,Organic Chemistry,"Roth, Heinz",2.73
01:160:307,Organic Chemistry,"Ghosal, Anima",3.42
