14:125:201,Intro Biomedical Eng,"Olabisi, Ronke",3.77
14:125:201,Intro Biomedical Eng,"Hacihaliloglu, Ilker",4.0
14:125:255,System Physiology,"Shoane, George",2.61
14:125:303,Biomed Transp Phenom,"Parekkadan, Biju",3.77
14:125:304,Biomaterial,"Labazzo, Kristen",4.33
14:125:305,Numer Modl&biomd Sys,"Pierce, Mark",4.16
14:125:306,Biomed Kinet & Therm,"Berthiaume, Francois",3.88
14:125:308,Biomechanics,"Shreiber, David",3.83
14:125:309,Bme Devices & System,"Drzewiecki, Gary",3.05
14:125:310,Bme Device & Sys Lab,"Drzewiecki, Gary",3.27
14:125:401,Senior Design I Lec,"Sy, Jay",3.73
14:125:403,Cardiovasc Eng,"Li, John",4.03
14:125:409,Intro To Prosthetics,"Craelius, William",1.55
14:125:411,Bioelectric Systems,"Li, John",4.07
14:125:417,Musculoskeletal Mech,"Langrana, Noshir",4.08
14:125:433,Fund Of Tissue Engg,"Cai, Li",3.89
14:125:445,Prin Drug Delivery,"Gormley, Adam",4.37
14:125:465,Bme Microfluidics,"Zahn, Jeffrey",4.23
14:155:201,Cheme Mat Energy Bal,"Buettner, Helen",3.88
14:155:298,Prof Skills Dev,"Murray, Karen",4.36
14:155:303,Trans Phen Chem E I,"Tomassone, Maria",4.12
14:155:307,Cheme Comp Method,"Androulakis, Ioannis",3.45
14:155:309,Chem Eng Thermo II,"Chiew, Yee",3.88
14:155:411,Biochemical Engg,"Schuster, Benjamin",3.82
14:155:411,Biochemical Engg,"Zhang, Haoran",3.99
14:155:415,Proc Engg Lab I,"Bertuccio, Alex",3.67
14:155:422,Proc Sim Ctrl,"Ramachandran, Rohit",3.88
14:155:427,Cheme Design I,"Celik, Fuat",3.83
14:180:243,Mechanics Of Solids,"Nassif, Hani",3.84
14:180:305,Construction Engg,"Brenner, Alfred",4.55
14:180:318,Elemts Of Structures,"Yong, Yook-Kong",3.03
14:180:331,Elemts Environm Engg,"Mazurek, Monica",3.65
14:180:387,Fluid Mechanics,"Fahrenfeld, Nicole",4.22
14:180:406,Construc Eng Managmt,"Gong, Jie",4.1
14:180:411,Reinforced Concrete,"Arafa, Mohamed",3.59
14:180:413,Theory Indeter Struc,"Moon, Franklin",4.39
14:180:429,Water&wastewtr Engg,"Miskewitz, Robert",3.83
14:180:430,Intro Trans Planning,Jin Jing,3.89
14:180:473,Foundation Engg,"Maher, Ali",3.75
14:332:221,Prin Elec Engg I,"Godrich, Hana",4.07
14:332:222,Prin Elec Engg II,"Mammone, Richard",4.01
14:332:231,Digital Logic Design,"Caggiano, Michael",3.7
14:332:312,Discrete Math Ece,"Petropulu, Athina",2.85
14:332:331,Comp Arch & Asm Lang,"Burdea, Grigore",3.62
14:332:345,Linear Sys & Signals,"Orfanidis, Sophocles",3.91
14:332:345,Linear Sys & Signals,"Sarwate, Anand",4.02
14:332:361,Electronics Devices,"Javanmard, Mehdi",3.94
14:332:366,Digital Electronics,Sehajpal Sumati,3.13
14:332:373,Elem of Elec Engg,McGarvey John,4.15
14:332:402,Sustainable Energy,"Godrich, Hana",4.26
14:332:417,Control Systm Design,"Gajic, Zoran",3.48
14:332:421,Wireless Commun Sys,"Pompili, Dario",3.24
14:332:424,Intro-Info&netw Sec,"Trappe, Wade",4.34
14:332:435,Topics In Ece: Computing Principle For Mobile Embe,"Chen, Yingying",4.26
14:332:436,Topics In Ece: Biomedical Tech Design & Develop,"Hassan, Umer",4.23
14:332:437,Digital Syst Design,"Spasojevic, Predrag",3.11
14:332:445,Topics In Ece: Machine Learning For Engineers,"Bajwa, Waheed Uz Zaman",4.22
14:332:449,Intro Capstone Ece,"Godrich, Hana",4.21
14:332:451,Parallel & Dist Prog,Striki Maria,4.23
14:332:452,Software Engineering,"Marsic, Ivan",2.73
14:332:453,Mobile App Engg,"Lindqvist, Janne",2.97
14:332:460,Power Electronics,"Caggiano, Michael",4.16
14:332:463,Analog Electronics,"Najafizadeh, Laleh",4.1
14:332:465,Physical Electronics,Sehajpal Sumati,3.14
14:332:472,Robotics&comp Vision,"Dana, Kristin",4.1
14:332:479,Vlsi Design,"Yuan, Bo",4.27
14:332:481,Electromagnetic Waves,Wu Chung-Tse,3.76
14:332:493,Topics In Ece: Introduction To Quantum Info Scienc,"Soljanin, Emina",4.28
14:332:493,Topics In Ece: Machine Learning For Iot,"Ortiz, Jorge",4.01
14:332:493,Topics In Ece: Embedded Systems II: Application De,"Southard, Phillip",3.99
14:332:494,Topics in ECE: Cloud Computing,Striki Maria,4.08
14:440:115,Dellc Intr To Eng,"Buettner, Helen",3.94
14:440:127,Int Computer For Eng,"Brown, Philip",4.0
