14:125:201,Intro Biomedical Eng,3.88
14:125:255,System Physiology,2.61
14:125:303,Biomed Transp Phenom,3.86
14:125:304,Biomaterial,4.08
14:125:305,Numer Modl&biomd Sys,4.07
14:125:306,Biomed Kinet & Therm,3.84
14:125:308,Biomechanics,3.72
14:125:309,Bme Devices & System,3.05
14:125:310,Bme Device & Sys Lab,3.27
14:125:401,Senior Design I Lec,3.73
14:125:403,Cardiovasc Eng,4.03
14:125:409,Intro To Prosthetics,3.77
14:125:411,Bioelectric Systems,4.07
14:125:417,Musculoskeletal Mech,4.08
14:125:433,Fund Of Tissue Engg,3.89
14:125:445,Prin Drug Delivery,4.37
14:125:465,Bme Microfluidics,4.23
14:155:201,Cheme Mat Energy Bal,3.55
14:155:298,Prof Skills Dev,4.38
14:155:303,Trans Phen Chem E I,4.03
14:155:307,Cheme Comp Method,3.66
14:155:309,Chem Eng Thermo II,4.23
14:155:411,Biochemical Engg,3.91
14:155:415,Proc Engg Lab I,3.74
14:155:422,Proc Sim Ctrl,3.88
14:155:427,Cheme Design I,3.83
14:180:243,Mechanics Of Solids,3.76
14:180:305,Construction Engg,4.55
14:180:318,Elemts Of Structures,3.25
14:180:331,Elemts Environm Engg,3.65
14:180:387,Fluid Mechanics,3.74
14:180:406,Construc Eng Managmt,3.68
14:180:411,Reinforced Concrete,4.01
14:180:413,Theory Indeter Struc,4.38
14:180:429,Water&wastewtr Engg,3.83
14:180:430,Intro Trans Planning,3.73
14:180:473,Foundation Engg,3.75
14:332:221,Prin Elec Engg I,3.98
14:332:222,Prin Elec Engg II,3.98
14:332:231,Digital Logic Design,3.47
14:332:312,Discrete Math Ece,3.14
14:332:331,Comp Arch & Asm Lang,3.98
14:332:345,Linear Sys & Signals,4.0
14:332:361,Electronics Devices,3.9
14:332:366,Digital Electronics,4.02
14:332:373,Elem of Elec Engg,4.15
14:332:402,Sustainable Energy,4.05
14:332:417,Control Systm Design,3.5
14:332:421,Wireless Commun Sys,3.35
14:332:424,Intro-Info&netw Sec,4.26
