01:640:001,Computational Skills,"Burns, Sandra",4.14
01:640:025,Elementary Algebra,"Patel, Saiju",3.92
01:640:025,Elementary Algebra,"Schwartz, Sharon",3.66
01:640:025,Elementary Algebra,"Perkowski, James",3.12
01:640:025,Elementary Algebra,"Collins, Eliot",3.65
01:640:025,Elementary Algebra,"Romano, Alfred",4.0
01:640:025,Elementary Algebra,"Burns, Sandra",3.66
01:640:026,Intermediate Algebra,"Mukherjee, Arun",4.07
01:640:026,Intermediate Algebra,"Schwartz, Sharon",3.26
01:640:026,Intermediate Algebra,"Khosla, Noopur",2.19
01:640:026,Intermediate Algebra,"Nazi, Ghassan",4.36
01:640:026,Intermediate Algebra,"Safran, Steven",3.97
01:640:026,Intermediate Algebra,"Perkowski, James",3.18
01:640:026,Intermediate Algebra,"Benedict, Krista",4.52
01:640:103,Topics Math Lib Arts,"Lopes, Denise",4.35
01:640:103,Topics Math Lib Arts,"Vaksman, Sofia",4.09
01:640:103,Topics Math Lib Arts,"Arias, Cecilia",4.56
01:640:103,Topics Math Lib Arts,"Ross, Arianne",3.74
01:640:103,Topics Math Lib Arts,"Roemer, Cynthia",3.73
01:640:103,Topics Math Lib Arts,"Milman, Yevgeniy",4.01
01:640:104,Intro To Probability: Intro. To Probability,"Roemer, Cynthia",3.89
01:640:104,Intro To Probability,"Sergel, Emily",4.11
01:640:106,Mathematics Of Money,"Arias, Cecilia",4.56
01:640:106,Mathematics Of Money,"Sherwood, Deborah",4.59
01:640:106,Mathematics Of Money,"Forgoston, Sacha",4.33
01:640:107,Number&oper For K-8,"Lieberman, Melissa",4.48
01:640:109,Geo&meas Midle Tchng,"Beals, Robert",4.17
01:640:111,Precalc Part 1,"Kinkhabwala, Rita",3.98
01:640:111,Precalc Part 1,"Sprague, Gabriela",3.73
01:640:111,Precalc Part 1,"Schwarz, Jeffrey",3.98
01:640:111,Precalc Part 1,"Woo, Jeffrey",4.3
01:640:111,Precalc Part 1,"Mulvey, Sally",3.82
01:640:111,Precalc Part 1,"Morehead, Diane",3.96
01:640:111,Precalc Part 1,"Patel, Dhansukh",3.83
01:640:111,Precalc Part 1,"Amodio, James",3.98
01:640:111,Precalc Part 1,"Unger, Laura",4.11
01:640:112,Precalc Part 2,"Amodio, James",4.31
01:640:112,Precalc Part 2,"Patel, Dhansukh",3.19
01:640:112,Precalc Part 2,"Cochran, Geraldine",4.21
01:640:112,Precalc Part 2,"Scheiman, David",4.39
01:640:115,Precalc College Math,"Safran, Steven",3.96
01:640:115,Precalc College Math,"Frankie, Joseph",3.62
01:640:115,Precalc College Math,"Mulvey, Sally",3.92
01:640:115,Precalc College Math,"Hirsch, Lewis",3.53
01:640:115,Precalc College Math,"Patel, Saiju",3.86
01:640:115,Precalc College Math,"Scheiman, David",4.15
01:640:115,Precalc College Math,"Woo, Jeffrey",4.3
01:640:115,Precalc College Math,"Menke, Michael",3.89
01:640:115,Precalc College Math,"Abadir, Rasha",4.2
01:640:115,Precalc College Math,"Sarker, Shorab",3.94
01:640:123,Prep For Calc I,"Amodio, James",4.29
01:640:135,Calc I Life&soc Sci,"Tabanli, Sheila",3.87
01:640:135,Calc I Life&soc Sci,"D'Alesandro, Anthony",4.0
01:640:135,Calc I Life&soc Sci,"Goldberg, Richard",3.89
01:640:135,Calc I Life&soc Sci,"Guadagni, Joseph",4.12
01:640:135,Calc I Life&soc Sci,"Ning, Harold",3.53
01:640:135,Calc I Life&soc Sci,"Threlfall, Shawn",4.11
01:640:135,Calc I Life&soc Sci,"Grier, Toby",3.69
01:640:135,Calc I Life&soc Sci,"Parmar, Davanjit",4.27
01:640:135,Calc I Life&soc Sci,"Sprague, Gabriela",3.72
01:640:135,Calc I Life&soc Sci,"Hafizi, Fatemeh",3.52
01:640:135,Calc I Life&soc Sci,"Sargsyan, Grigor",3.48
01:640:135,Calc I Life&soc Sci,"Vaksman, Sofia",3.69
01:640:135,Calc I Life&soc Sci,"Mulvey, Sally",3.55
01:640:135,Calc I Life&soc Sci,"Cooney, Bernadette",3.84
01:640:135,Calc I Life&soc Sci,"Menke, Michael",4.01
01:640:135,Calc I Life&soc Sci,"Charnley, Matthew",3.54
01:640:135,Calc I Life&soc Sci,"Banerjee, Banmali",3.98
01:640:135,Calc I Life&soc Sci,"Goonetilleke, Lasantha",4.01
01:640:135,Calc I Life&soc Sci,"Hendricks, Kristen",3.59
01:640:135,Calc I Life&soc Sci,"Milman, Yevgeniy",4.15
01:640:135,Calc I Life&soc Sci,"Schwarz, Jeffrey",4.0
01:640:135,Calc I Life&soc Sci,"Bradley, Kristen",3.75
01:640:135,Calc I Life&soc Sci,"Noone, Kevin",4.26
01:640:135,Calc I Life&soc Sci,"Soffer, Sara",3.71
01:640:135,Calc I Life&soc Sci,"Scheiman, David",4.27
01:640:136,Calc II Life&soc Sci,"Threlfall, Shawn",4.23
01:640:136,Calc II Life&soc Sci,"Ning, Harold",3.48
01:640:151,Calc I Math/phys,"Bahri Nunziante, Diana",3.87
01:640:151,Calc I Math/phys,"O'Halloran, Roger",4.01
01:640:151,Calc I Math/phys,"Krueger, August",3.17
01:640:151,Calc I Math/phys,"Cooney, Bernadette",3.95
01:640:151,Calc I Math/phys,"Noone, Kevin",3.98
01:640:151,Calc I Math/phys,"Prevost, Shari",3.76
01:640:151,Calc I Math/phys,"Coley, Ian",3.74
01:640:151,Calc I Math/phys,"Sarker, Shorab",3.02
01:640:151,Calc I Math/phys,"Song, Jian",3.67
01:640:151,Calc I Math/phys,"Sergel, Emily",3.89
01:640:151,Calc I Math/phys,"Khosla, Noopur",3.12
01:640:151,Calc I Math/phys,"Peterson, Stephen",4.05
01:640:151,Calc I Math/phys,"Parmar, Davanjit",3.96
01:640:151,Calc I Math/phys,"Charnley, Matthew",4.2
01:640:151,Calc I Math/phys,"Wasserman, Eric",4.13
01:640:151,Calc I Math/phys,"Smythe, Iian",4.32
01:640:151,Calc I Math/phys,"Mischaikow, Konstantin",3.33
01:640:152,Calc II Math/phys,"Soffer, Sara",3.75
01:640:152,Calc II Math/phys,"Marszalek, Wieslaw",3.2
01:640:152,Calc II Math/phys,"Banerjee, Banmali",3.95
01:640:152,Calc II Math/phys,"Ullman, Peter",4.13
01:640:152,Calc II Math/phys,"Abadir, Rasha",3.76
01:640:152,Calc II Math/phys,"Zurovchak, James",4.04
01:640:152,Calc II Math/phys,"Sesum, Natasa",4.03
01:640:152,Calc II Math/phys,"Cogar, Samuel",4.32
01:640:152,Calc II Math/phys,"Toprak, Ebru",3.85
01:640:152,Calc II Math/phys,"Sosa, Jose",3.68
01:640:152,Calc II Math/phys,"Barreto-Aranda, Victor",3.31
01:640:152,Calc II Math/phys,"Malik, Amita",3.05
01:640:244,Diff Eqs/engr&phys,"Kallupalam Balasubram, Moulik",4.08
01:640:244,Diff Eqs/engr&phys,"Shtelen, Vladimir",3.89
01:640:244,Diff Eqs/engr&phys,"Tsipenyuk, Natalya",4.2
