01:750:109,Astronomy&cosmology,"Hughes, John",4.03
01:750:109,Astronomy&cosmology,"Jerez, Andres",3.91
01:750:115,Extended Analytic I,"Cochran, Geraldine",4.1
01:750:123,Analytical Physics I,"Lath, Amitabh",3.79
01:750:123,Analytical Physics I,"Friedan, Daniel",3.75
01:750:123,Analytical Physics I,"Zamick, Larry",3.55
01:750:123,Analytical Physics I,"Diaconescu, Duiliu",3.53
01:750:161,Elements Of Physics,"Chandra, Premala",3.15
01:750:161,Elements Of Physics,"Kloet, Willem",3.7
01:750:193,Physics For Sciences,"Wakim, David",4.65
01:750:193,Physics For Sciences,"Gentile, Michael",4.48
01:750:202,Extended Gen Physics,"Chishti, Shumaila",4.42
01:750:203,General Physics,"Ruggieri, Charles",4.46
01:750:204,General Physics,"Ruggieri, Charles",4.64
01:750:205,General Physics Lab,"Eisenchmied, Alexander",3.38
01:750:205,General Physics Lab,"Rajabi, Samira",3.73
01:750:206,General Physics Lab,"Lee, Brian",4.43
01:750:206,General Physics Lab,"Wang, Hao",4.0
01:750:227,Analyt Physics II,"Montalvo, Roy",3.89
01:750:227,Analyt Physics II,"Mastbaum, Andrew",4.17
01:750:227,Analyt Physics II,"Gershenson, Michael",3.77
01:750:227,Analyt Physics II,"Rabe, Karin",4.46
01:750:229,Anal Phys II Lab,"Townsend, Peter",3.31
01:750:229,Anal Phys II Lab,"Mckeegan, Jeremy",3.74
01:750:229,Anal Phys II Lab,"Geiko, Aleksandra",4.15
01:750:271,Honors Physics I,"Kiryukhin, Valery",3.96
01:750:273,Honors Physics III,"Chou, John",4.03
01:750:275,Classical Phys Lab I,"Lee, Sang-Hyuk",4.12
01:750:305,Modern Optics,"Blumberg, Girsh",3.23
01:750:323,Adv General Phy I,"Schnetzer, Stephen",4.15
01:750:326,Computer-Based Exper,"Podzorov, Vitaly",3.9
01:750:341,Principles Astrophys,"Buckley, Matthew",4.29
01:750:381,Mechanics,"Wu, Weida",3.45
01:750:385,Electromagnetism,"Salur, Sevil",4.02
01:750:387,Exp Modern Physics,"Oh, Seongshik",3.98
01:750:444,Intro To Cosmology,"Buckley, Matthew",4.14
01:750:451,Physical Oceanograph,"Jackson, Rebecca",4.49
01:750:451,Physical Oceanograph,"Chant, Robert",4.11
01:750:464,Mathematical Physics,"Sengupta, Anirvan",2.89
01:750:109,Astronomy&cosmology,"Croft, Mark",4.0
01:750:109,Astronomy&cosmology,"Baker, Andrew",4.05
01:750:110,Astronomy & Cosmology,"Gawiser, Eric",4.26
01:750:115,Extended Analytic I,"Montalvo, Roy",3.52
01:750:123,Analytical Physics I,"Ruggieri, Charles",4.38
01:750:123,Analytical Physics I,"Halkiadakis, Eva",4.05
01:750:161,Elements Of Physics,"Zamick, Larry",3.03
01:750:193,Physics For The Sciences,"Makowski, Patrick",4.59
01:750:202,Extended Gen Physics,"Brahmia, Abdelbaki",4.39
01:750:202,Extended Gen Physics,"Khan, Hamza",4.3
01:750:203,General Physics,"Bunkowski, Klaudia",4.22
01:750:203,General Physics,"Brahmia, Abdelbaki",3.99
01:750:203,General Physics,"Friedan, Daniel",3.82
01:750:204,General Physics,"Brahmia, Abdelbaki",4.01
01:750:204,General Physics,"Chishti, Shumaila",4.51
01:750:206,General Physics Laboratory,"Mainiero, Thomas",4.27
01:750:227,Analytical Physics II,"Chakhalian, Jak",3.49
01:750:227,Analytical Physics II,"Neuberger, Herbert",3.35
01:750:227,Analytical Physics II,"Chou, John Paul",3.65
01:750:227,Analytical Physics II,"Haule, Kristjan",3.94
01:750:229,Analytical Physics II Laboratory,"Wang, Hao",4.01
01:750:229,Analytical Physics II Laboratory,"Kabir, Adeeb",4.31
01:750:229,Analytical Physics II Laboratory,"Lee, Brian",4.46
01:750:229,Analytical Physics II Laboratory,"Makowski, Patrick",4.38
01:750:273,Honors Physics III,"Pixley, Jedediah",2.99
01:750:275,Classical Physics Lab I,"Rabe, Karin",3.21
01:750:313,Modern Physics,"Andrei, Eva",3.47
01:750:323,Advanced General Physics I,"Gershenson, Michael",2.73
01:750:341,Principles Astrophys,"Mcquinn, Kristen",4.29
01:750:345,Computational Astrophysics,"Keeton, Charles",4.26
01:750:361,Quantum & Atomic Phy,"Gershtein, Yuri",3.78
01:750:368,Junior Seminar,"Cizewski, Jolie",4.16
01:750:418,Nuclei And Particles,"Somalwar, Sunil",4.47
01:750:464,Mathematical Physics,"Mastbaum, Andrew",4.27
01:750:109,Astronomy&cosmology,"Zimmermann, Frank",2.97
01:750:110,Astronomy And Cosmology,"Jerez, Andres",3.51
01:750:123,Analytical Physics I,"Montalvo, Grace",3.43
01:750:161,Elements Of Physics,"Lath, Amitabh",3.07
01:750:193,Physics For The Sciences Laboratory,"Koft, Julie",4.26
01:750:193,Physics For The Sciences Laboratory,"Baker, John",3.87
